name,sku,variant,brand,category,price,currency,url,gtin,mpn,availability,condition,description,aliases
Apple iPhone 16,FK-PHONE-IPHONE16,Black 256 GB,Apple,Smartphones,75900,INR,https://www.flipkart.com/apple-iphone-16-black-256-gb/p/itm86da1977dcdf1,,,in_stock,new,A18 smartphone with a 6.1-inch OLED display,"iPhone 16|Apple iPhone sixteen"
Samsung Galaxy S25 5G,FK-PHONE-S25,Icyblue 256 GB,Samsung,Smartphones,79999,INR,https://www.flipkart.com/samsung-galaxy-s25-5g-icyblue-256-gb/p/itm3c1e495903acc,,,in_stock,new,5G smartphone with 12 GB RAM and 256 GB storage,"Galaxy S25|Samsung S25"
Apple MacBook Air M4,FK-LAPTOP-MBA-M4,Starlight 16 GB 512 GB,Apple,Laptops,115490,INR,https://www.flipkart.com/apple-macbook-air-m4-16-gb-512-gb-ssd-macos-sequoia-mw1k3hn-a/p/itm7974f4e1029b2,,MW1K3HN/A,in_stock,new,15.3-inch laptop with Apple M4 and 512 GB SSD,"MacBook Air M4|M4 MacBook Air"
Acer Aspire 3,FK-LAPTOP-ASPIRE3,Pure Silver 8 GB 512 GB,Acer,Laptops,54990,INR,https://www.flipkart.com/acer-aspire-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-a315-59-notebook/p/itm301e577173d34,,A315-59-50CP,in_stock,new,15.6-inch Windows laptop with Intel Core i5 and 512 GB SSD,"Aspire 3|Acer A315-59"
Sony WH-1000XM6,FK-AUDIO-XM6,Black,Sony,Headphones,39990,INR,https://www.flipkart.com/sony-wh-1000xm6-bm-bluetooth-wired/p/itm537a684bd08c7,,WH-1000XM6/BM,out_of_stock,new,Wireless noise-cancelling over-ear headphones,"WH-1000XM6|Sony XM6"
Bose QuietComfort Ultra,FK-AUDIO-QCU,Black,Bose,Headphones,25649,INR,https://www.flipkart.com/bose-new-quietcomfort-ultra-headphones-spatial-audio-nc-upto-24hr-battery-life-bluetooth/p/itmaf5ffcc5144ba,,,in_stock,new,Wireless noise-cancelling headphones with spatial audio,"QuietComfort Ultra|Bose QC Ultra"
